"Date","Price","Open","High","Low","Change %"
"May 04","6.7346","6.8588","6.9785","6.6745","-1.88%"
"Apr 04","6.8639","6.8431","7.0202","6.7985","0.24%"
"Mar 04","6.8475","7.0075","7.1881","6.8069","-2.26%"
"Feb 04","7.0056","7.0040","7.0985","6.7750","-0.18%"
"Jan 04","7.0182","6.6735","7.1106","6.6236","5.19%"
"Dec 03","6.6718","6.8250","6.8415","6.6016","-2.14%"
"Nov 03","6.8180","7.1114","7.2419","6.7972","-4.12%"
"Oct 03","7.1112","7.0407","7.1547","6.9330","0.97%"
"Sep 03","7.0427","7.5030","7.6623","6.9726","-6.25%"
"Aug 03","7.5123","7.2898","7.7174","7.1415","3.05%"
"Jul 03","7.2901","7.1984","7.5195","7.0948","1.14%"
"Jun 03","7.2080","6.7240","7.2863","6.6963","7.97%"
"May 03","6.6760","7.0003","7.0360","6.6021","-4.61%"
"Apr 03","6.9984","7.2739","7.3751","6.9833","-3.78%"
"Mar 03","7.2735","7.1610","7.4908","7.0178","1.63%"
"Feb 03","7.1568","6.9037","7.2340","6.8685","3.42%"
"Jan 03","6.9203","6.9454","7.0225","6.8133","-0.14%"
"Dec 02","6.9300","7.3243","7.3761","6.9209","-5.38%"
"Nov 02","7.3243","7.4310","7.4446","7.1889","-1.46%"
"Oct 02","7.4331","7.4020","7.6615","7.3501","0.40%"
"Sep 02","7.4037","7.5456","7.6555","7.3892","-1.49%"
"Aug 02","7.5157","7.6452","7.8311","7.4745","-1.61%"
"Jul 02","7.6390","7.4975","7.7246","7.2712","1.95%"
"Jun 02","7.4929","7.9945","8.0210","7.4040","-6.38%"
"May 02","8.0035","8.4156","8.4233","7.8846","-4.87%"
"Apr 02","8.4134","8.8352","8.8352","8.3671","-4.93%"
"Mar 02","8.8499","8.8761","8.9181","8.7045","-0.35%"
"Feb 02","8.8810","9.1217","9.1427","8.8495","-2.58%"
"Jan 02","9.1166","8.9765","9.1462","8.8406","1.89%"
"Dec 01","8.9474","8.9253","9.1355","8.8385","0.29%"
"Nov 01","8.9215","8.8908","9.0689","8.7476","0.33%"
"Oct 01","8.8919","8.8841","8.9634","8.7018","0.26%"
"Sep 01","8.8685","8.8485","8.9894","8.5045","0.44%"
"Aug 01","8.8298","9.1126","9.1234","8.7614","-3.15%"
"Jul 01","9.1167","9.3262","9.4576","9.0664","-2.18%"
"Jun 01","9.3200","9.3987","9.4757","9.1391","-0.72%"
"May 01","9.3876","9.0863","9.4103","8.9865","3.18%"
"Apr 01","9.0986","9.2058","9.2164","8.9762","-0.84%"
"Mar 01","9.1753","8.9073","9.1919","8.7465","2.98%"
"Feb 01","8.9101","8.7565","9.1504","8.6815","1.47%"
"Jan 01","8.7813","8.7700","9.0223","8.5439","0.12%"
"Dec 00","8.7707","9.2613","9.3056","8.7642","-5.31%"
"Nov 00","9.2629","9.2775","9.5713","9.0612","-0.29%"
"Oct 00","9.2898","9.0659","9.6545","9.0512","2.56%"
"Sep 00","9.0575","9.0785","9.4552","8.9555","-0.19%"
"Aug 00","9.0751","8.8626","9.1260","8.7929","2.47%"
"Jul 00","8.8567","8.6037","8.9014","8.5226","2.98%"
"Jun 00","8.6006","8.8699","8.9595","8.5292","-2.95%"
"May 00","8.8624","8.9335","9.2235","8.8577","-0.71%"
"Apr 00","8.9258","8.4535","9.0203","8.4050","5.48%"
"Mar 00","8.4623","8.3660","8.5272","8.2371","0.96%"
"Feb 00","8.3820","8.3198","8.4350","8.1072","0.58%"
"Jan 00","8.3338","8.0201","8.3587","7.8627","3.94%"
"Dec 99","8.0176","8.0637","8.1256","7.8973","-0.52%"
"Nov 99","8.0596","7.8201","8.0938","7.7905","3.04%"
"Oct 99","7.8219","7.6850","7.9260","7.6228","1.85%"
"Sep 99","7.6799","7.8450","7.9910","7.6662","-2.12%"
"Aug 99","7.8462","7.8013","8.0098","7.6797","0.91%"
"Jul 99","7.7758","7.8283","8.0424","7.7568","-1.19%"
"Jun 99","7.8697","7.8947","8.0172","7.7692","-0.26%"
"May 99","7.8905","7.7827","7.9300","7.5700","1.04%"
"Apr 99","7.8094","7.7608","7.8480","7.6874","0.73%"
"Mar 99","7.7531","7.9230","7.9976","7.6640","-1.74%"
"Feb 99","7.8903","7.5029","7.9421","7.4932","4.95%"
"Jan 99","7.5183","7.5388","7.5832","7.3048","-1.50%"
"Dec 98","7.6325","7.5088","7.8704","7.3715","1.71%"
"Nov 98","7.5042","7.2980","7.5707","7.2799","2.76%"
"Oct 98","7.3025","7.3780","7.7010","7.2875","-1.08%"
"Sep 98","7.3825","7.7463","7.9665","7.3458","-4.78%"
"Aug 98","7.7532","7.5350","8.0443","7.5203","2.81%"
"Jul 98","7.5413","7.6528","7.7940","7.4706","-1.55%"
"Jun 98","7.6599","7.5285","7.7245","7.4040","1.36%"
"May 98","7.5573","7.4607","7.5990","7.3223","1.30%"
"Apr 98","7.4606","7.6225","7.6806","7.3929","-2.14%"
"Mar 98","7.6237","7.5837","7.6431","7.4765","0.59%"
"Feb 98","7.5787","7.6040","7.6436","7.4045","-0.21%"
"Jan 98","7.5948","7.3720","7.6190","7.3009","2.99%"
"Dec 97","7.3742","7.1875","7.3937","7.1410","2.48%"
"Nov 97","7.1959","7.0278","7.2321","6.9025","2.56%"
"Oct 97","7.0165","7.0899","7.2867","6.8973","-0.74%"
"Sep 97","7.0685","7.5053","7.6035","7.0340","-5.53%"
"Aug 97","7.4823","7.6243","7.7940","7.3809","-1.89%"
"Jul 97","7.6266","7.3241","7.6510","7.2530","4.09%"
"Jun 97","7.3267","7.1181","7.3436","7.0630","2.88%"
"May 97","7.1219","7.1135","7.1758","6.9450","0.09%"
"Apr 97","7.1153","6.6165","7.1730","6.5751","7.55%"
"Mar 97","6.6158","6.7700","7.0189","6.5704","-1.82%"
"Feb 97","6.7382","6.4900","6.8195","6.4055","3.89%"
"Jan 97","6.4861","6.3803","6.6460","6.2980","0.69%"
"Dec 96","6.4418","6.4295","6.5593","6.4013","0.32%"
"Nov 96","6.4212","6.4279","6.4660","6.2589","0.36%"
"Oct 96","6.3980","6.4985","6.5735","6.3404","-1.55%"
"Sep 96","6.4989","6.4216","6.5278","6.3573","1.31%"
"Aug 96","6.4150","6.3686","6.4968","6.3448","0.73%"
"Jul 96","6.3688","6.5140","6.5590","6.3107","-2.10%"
"Jun 96","6.5055","6.5115","6.5976","6.4618","-0.05%"
"May 96","6.5085","6.5731","6.6538","6.5000","-1.01%"
"Apr 96","6.5746","6.4257","6.6137","6.3788","2.54%"
"Mar 96","6.4116","6.4194","6.4913","6.3788","-0.02%"
"Feb 96","6.4127","6.5088","6.5279","6.2807","-1.59%"
"Jan 96","6.5160","6.3428","6.5557","6.3101","2.70%"
