"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 30, 2014","7,572.63","7,704.49","7,705.63","7,560.54","9.44K","-1.75%"
"Jan 29, 2014","7,707.59","7,754.18","7,790.02","7,695.27","10.34K","-0.43%"
"Jan 28, 2014","7,740.75","7,773.55","7,810.80","7,679.81","13.99K","-0.15%"
"Jan 27, 2014","7,752.54","7,810.23","7,815.72","7,723.60","21.27K","-1.31%"
"Jan 24, 2014","7,855.14","7,771.58","7,908.89","7,760.20","10.56K","0.86%"
"Jan 23, 2014","7,788.47","7,818.76","7,855.23","7,764.48","8.93K","-0.41%"
"Jan 22, 2014","7,820.45","7,612.19","7,821.07","7,597.44","12.17K","2.99%"
"Jan 21, 2014","7,593.43","7,528.79","7,641.60","7,528.79","6.26K","0.92%"
"Jan 20, 2014","7,524.33","7,526.70","7,573.80","7,477.78","6.63K","-0.27%"
"Jan 17, 2014","7,544.56","7,637.68","7,659.57","7,541.27","7.13K","-1.60%"
"Jan 16, 2014","7,667.22","7,677.98","7,724.40","7,647.28","8.59K","-0.02%"
"Jan 15, 2014","7,668.80","7,660.66","7,697.03","7,614.52","8.25K","0.04%"
"Jan 14, 2014","7,665.77","7,568.60","7,666.52","7,543.37","10.11K","1.23%"
"Jan 13, 2014","7,572.56","7,646.46","7,697.52","7,521.19","8.18K","-0.99%"
"Jan 10, 2014","7,648.04","7,723.74","7,732.04","7,644.92","8.06K","-1.27%"
"Jan 09, 2014","7,746.74","7,774.65","7,875.59","7,740.85","10.51K","-0.71%"
"Jan 08, 2014","7,802.14","7,816.98","7,901.22","7,770.38","8.14K","-0.05%"
"Jan 07, 2014","7,806.31","7,760.96","7,848.36","7,752.56","6.49K","-0.16%"
"Jan 06, 2014","7,818.46","8,013.37","8,013.37","7,790.90","10.01K","-2.61%"
"Jan 03, 2014","8,028.33","8,077.48","8,094.96","7,995.59","9.07K","-1.06%"
"Jan 02, 2014","8,114.39","8,083.77","8,124.56","8,048.27","7.20K","-0.09%"
"Dec 31, 2013","8,121.79","7,968.45","8,129.26","7,959.28","8.32K","1.53%"
"Dec 30, 2013","7,999.30","8,074.69","8,080.70","7,988.90","8.05K","-0.62%"
"Dec 27, 2013","8,048.85","7,911.23","8,092.77","7,893.76","9.14K","1.92%"
"Dec 26, 2013","7,897.32","8,067.29","8,071.73","7,887.37","8.63K","-2.46%"
